DGP,Name,Method,Coverage,Coverage_SE,Nominal,Mean_CI_Width,Mean_Bias,Mean_SE,n_valid,n_sim,n_boot
01_iid,IID baseline,iid,0.951,0.0068263460211155,0.95,1.9858848888003229,0.0229087044259529,0.5068514764600118,1000,1000,5000
01_iid,IID baseline,blocked,0.947,0.0070845606779813,0.95,1.981964615803697,0.0229087044259529,0.5056450369712403,1000,1000,5000
01_iid,IID baseline,stationary,0.947,0.0070845606779813,0.95,1.9787703036626767,0.0229087044259529,0.5049955767639875,1000,1000,5000
01_iid,IID baseline,hac_delta,0.952,0.0067598816557688,0.95,1.9813616724345395,0.0244179537642545,0.5054586941554201,1000,1000,5000
01_iid,IID baseline,row_naive,0.0,0.0,0.95,0.2783439476927357,-2.5670806293910764,0.0710061091052897,1000,1000,5000
02_ser_mild,Serial mild,iid,0.898,0.0095705799197331,0.95,1.9861029487053483,0.0251067504939623,0.5070999360143918,1000,1000,5000
02_ser_mild,Serial mild,blocked,0.938,0.0076260081300769,0.95,2.2960189079179663,0.0251067504939623,0.5860044428152664,1000,1000,5000
02_ser_mild,Serial mild,stationary,0.936,0.0077397674383666,0.95,2.30244959982284,0.0251067504939623,0.5874550797150357,1000,1000,5000
02_ser_mild,Serial mild,hac_delta,0.943,0.0073315073484243,0.95,2.3662683599464382,0.0266170996802526,0.6036509799698517,1000,1000,5000
02_ser_mild,Serial mild,row_naive,0.0,0.0,0.95,0.2783445053732468,-2.5671848214788278,0.0710062513707262,1000,1000,5000
03_ser_strong,Serial strong,iid,0.734,0.0139729739139526,0.95,1.9852779607441289,0.0151394731248072,0.5069935750796142,1000,1000,5000
03_ser_strong,Serial strong,blocked,0.921,0.0085298886276433,0.95,3.0729541606499025,0.0151394731248072,0.7844441051732038,1000,1000,5000
03_ser_strong,Serial strong,stationary,0.919,0.0086278038920689,0.95,3.1038919723952896,0.0151394731248072,0.7921172784745321,1000,1000,5000
03_ser_strong,Serial strong,hac_delta,0.934,0.0078513693073246,0.95,3.29659676997572,0.0166448349315665,0.8409840170479802,1000,1000,5000
03_ser_strong,Serial strong,row_naive,0.0,0.0,0.95,0.2783463531332923,-2.5684315781271296,0.0710067227380848,1000,1000,5000
04_xs_mild,Cross mild,iid,0.952,0.0067598816557688,0.95,1.9714208835390503,0.0292599123133639,0.5031808912165503,1000,1000,5000
04_xs_mild,Cross mild,blocked,0.95,0.0068920243760451,0.95,1.9643493807553607,0.0292599123133639,0.5016910380972249,1000,1000,5000
04_xs_mild,Cross mild,stationary,0.95,0.0068920243760451,0.95,1.9590334942570649,0.0292599123133639,0.5000923690282132,1000,1000,5000
04_xs_mild,Cross mild,hac_delta,0.95,0.0068920243760451,0.95,1.96599629743434,0.0297303151350944,0.5015388836075224,1000,1000,5000
04_xs_mild,Cross mild,row_naive,0.073,0.0082262385085772,0.95,0.2783608843457222,-0.4736780539963567,0.0710104296800312,1000,1000,5000
05_xs_strong,Cross strong,iid,0.942,0.0073916168731881,0.95,1.9692973560132143,0.0224572771503395,0.5028745407050421,1000,1000,5000
05_xs_strong,Cross strong,blocked,0.934,0.0078513693073246,0.95,1.965578122260322,0.0224572771503395,0.5016986158081589,1000,1000,5000
05_xs_strong,Cross strong,stationary,0.938,0.0076260081300769,0.95,1.963946399511435,0.0224572771503395,0.5010388159885236,1000,1000,5000
05_xs_strong,Cross strong,hac_delta,0.938,0.0076260081300769,0.95,1.9660105960582397,0.0227651201198456,0.5015425312826869,1000,1000,5000
05_xs_strong,Cross strong,row_naive,0.262,0.0139052508067995,0.95,0.2783832098674734,-0.1530442720537854,0.0710161249661922,1000,1000,5000
06_both_mod,Both moderate,iid,0.898,0.0095705799197331,0.95,1.9716532413860623,-0.0317925042997191,0.5031019914819853,1000,1000,5000
06_both_mod,Both moderate,blocked,0.937,0.0076831634109915,0.95,2.2832295885060754,-0.0317925042997191,0.5827096288481196,1000,1000,5000
06_both_mod,Both moderate,stationary,0.936,0.0077397674383666,0.95,2.28635906594728,-0.0317925042997191,0.5836220071722097,1000,1000,5000
06_both_mod,Both moderate,hac_delta,0.939,0.0075682891065286,0.95,2.3495796464262986,-0.031352650600047,0.599393576861484,1000,1000,5000
06_both_mod,Both moderate,row_naive,0.088,0.0089585713146684,0.95,0.2783599449829604,-0.5025486053915935,0.0710101900466736,1000,1000,5000
07_both_strong,Both strong,iid,0.771,0.013287550564344,0.95,1.970849285402928,0.0355768004293862,0.5031677836007635,1000,1000,5000
07_both_strong,Both strong,blocked,0.934,0.0078513693073246,0.95,3.0463772101686684,0.0355768004293862,0.7780403893621356,1000,1000,5000
07_both_strong,Both strong,stationary,0.935,0.0077958322198467,0.95,3.07652580140824,0.0355768004293862,0.7850577629246204,1000,1000,5000
07_both_strong,Both strong,hac_delta,0.943,0.0073315073484243,0.95,3.256972831908599,0.0358912080844565,0.8308756838388831,1000,1000,5000
07_both_strong,Both strong,row_naive,0.178,0.0120961150788176,0.95,0.2784433216705536,-0.1445902476511306,0.071031459609835,1000,1000,5000
08_realistic,Realistic,iid,0.901,0.0094445222219019,0.95,1.2457137757882897,0.0151795668425668,0.3180009760179143,1000,1000,5000
08_realistic,Realistic,blocked,0.937,0.0076831634109915,0.95,1.400678881895011,0.0151795668425668,0.3576571193016885,1000,1000,5000
08_realistic,Realistic,stationary,0.937,0.0076831634109915,0.95,1.402175984953837,0.0151795668425668,0.3578961522495686,1000,1000,5000
08_realistic,Realistic,hac_delta,0.941,0.0074511073002608,0.95,1.423672082049571,0.0153244439351106,0.3631883272548156,1000,1000,5000
08_realistic,Realistic,row_naive,0.107,0.0097750191815668,0.95,0.1244855024924953,-0.276720590421046,0.0317565057378814,1000,1000,5000
09_garch_mild,GARCH mild,iid,0.877,0.0103860964755773,0.95,1.969498377929665,0.0318558781078822,0.5030486500392131,1000,1000,5000
09_garch_mild,GARCH mild,blocked,0.926,0.0082779224446717,0.95,2.2767869693889216,0.0318558781078822,0.581128111730401,1000,1000,5000
09_garch_mild,GARCH mild,stationary,0.93,0.0080684571015777,0.95,2.276305740326076,0.0318558781078822,0.5813600796830299,1000,1000,5000
09_garch_mild,GARCH mild,hac_delta,0.94,0.0075099933422074,0.95,2.339503637930741,0.0323275798868091,0.5968231192982236,1000,1000,5000
09_garch_mild,GARCH mild,row_naive,0.11,0.0098944428847712,0.95,0.2783689812956359,-0.4733630367494952,0.0710124952284785,1000,1000,5000
10_garch_strong,GARCH strong,iid,0.862,0.0109066951914867,0.95,1.971345973900391,-0.0487454853882527,0.5032255828026815,1000,1000,5000
10_garch_strong,GARCH strong,blocked,0.926,0.0082779224446717,0.95,2.455036330776036,-0.0487454853882527,0.6266381110584107,1000,1000,5000
10_garch_strong,GARCH strong,stationary,0.927,0.0082262385085772,0.95,2.465597538814967,-0.0487454853882527,0.6295178374036184,1000,1000,5000
10_garch_strong,GARCH strong,hac_delta,0.948,0.0070211110231928,0.95,2.588788906084913,-0.0484398746557817,0.6604174685108883,1000,1000,5000
10_garch_strong,GARCH strong,row_naive,0.199,0.0126253316788114,0.95,0.2783848062016826,-0.2675093871893447,0.0710165321943067,1000,1000,5000
11_multifactor,Multi-factor K=3,iid,0.895,0.0096940703525402,0.95,1.969851259380268,0.0096068960669764,0.5030149082764444,1000,1000,5000
11_multifactor,Multi-factor K=3,blocked,0.937,0.0076831634109915,0.95,2.277557886489323,0.0096068960669764,0.5813312852663743,1000,1000,5000
11_multifactor,Multi-factor K=3,stationary,0.94,0.0075099933422074,0.95,2.2810108688810438,0.0096068960669764,0.5822037974209411,1000,1000,5000
11_multifactor,Multi-factor K=3,hac_delta,0.947,0.0070845606779813,0.95,2.346268968317317,0.0099897103042141,0.5985490006001098,1000,1000,5000
11_multifactor,Multi-factor K=3,row_naive,0.225,0.0132051126462442,0.95,0.278374687639899,-0.3269800706313796,0.0710139509285456,1000,1000,5000
12_regime,Regime-switching,iid,0.89,0.0098944428847712,0.95,1.3923530424373196,0.0141452935275282,0.3553034539538631,1000,1000,5000
12_regime,Regime-switching,blocked,0.929,0.0081215146370612,0.95,1.5692186377711097,0.0141452935275282,0.4004523334675945,1000,1000,5000
12_regime,Regime-switching,stationary,0.929,0.0081215146370612,0.95,1.5696081214783606,0.0141452935275282,0.4008151384767942,1000,1000,5000
12_regime,Regime-switching,hac_delta,0.934,0.0078513693073246,0.95,1.5916529324403546,0.0142002460758496,0.406041372442328,1000,1000,5000
12_regime,Regime-switching,row_naive,0.306,0.0145727142289966,0.95,0.1967944612319254,-0.0924455915241308,0.0502026686816136,1000,1000,5000
13_high_ar1,High-persistence AR(1),iid,0.562,0.0156893594515518,0.95,1.971426908814657,-0.0087685873604996,0.5034583084708911,1000,1000,5000
13_high_ar1,High-persistence AR(1),blocked,0.899,0.0095288509275777,0.95,4.095383621951661,-0.0087685873604996,1.0453450071256265,1000,1000,5000
13_high_ar1,High-persistence AR(1),stationary,0.907,0.009184280047995,0.95,4.1569498874229645,-0.0087685873604996,1.061538979978944,1000,1000,5000
13_high_ar1,High-persistence AR(1),hac_delta,0.933,0.007906389820898,0.95,4.405770408757536,-0.0083949677615292,1.123941675334264,1000,1000,5000
13_high_ar1,High-persistence AR(1),row_naive,0.137,0.0108734079294396,0.95,0.2784712138937144,-0.3376102451284943,0.0710385749728863,1000,1000,5000
14_garch_highvol,High-volatility GARCH,iid,0.895,0.0096940703525402,0.95,1.971146743092592,0.0114269338439234,0.5030346597393976,1000,1000,5000
14_garch_highvol,High-volatility GARCH,blocked,0.94,0.0075099933422074,0.95,2.2823523229126126,0.0114269338439234,0.5822834797102147,1000,1000,5000
14_garch_highvol,High-volatility GARCH,stationary,0.941,0.0074511073002608,0.95,2.284257620167488,0.0114269338439234,0.5830243710098558,1000,1000,5000
14_garch_highvol,High-volatility GARCH,hac_delta,0.948,0.0070211110231928,0.95,2.3472414357712914,0.011810658783133,0.5987970835908293,1000,1000,5000
14_garch_highvol,High-volatility GARCH,row_naive,0.193,0.0124800240384383,0.95,0.2783756279001586,-0.3245288400874422,0.0710141907908567,1000,1000,5000
